SITE_ID,timestamp,DOY,TOD,CO2_F_MDS,G_F_MDS,H_F_MDS,LE_F_MDS,LW_IN_F,LW_OUT,NETRAD,PA_F,PPFD_IN,PPFD_OUT,P_F,RH,SW_IN_F,SW_OUT,TA_F,USTAR,VPD_F,WD,WS_F,MODIS_band_1,MODIS_band_2,MODIS_band_3,MODIS_band_4,MODIS_band_5,MODIS_band_6,MODIS_band_7,MODIS_snow,MODIS_water,NEE_VUT_REF
IE-Cra,02/01/2020 13:00,-0.994535519,0.083333333,-0.29033825,-0.167305077,-0.18093925,-0.16645285,,,-0.165524667,,-0.408265625,,,0.462,-0.475677,,0.067625,-0.45697065,-0.495518182,-0.0075,-0.3946,,,,,,,,,,-0.1961775
IE-Cra,02/01/2020 14:00,-0.994535519,0.166666667,-0.28854975,-0.167062885,-0.174645217,-0.165029142,,,-0.1656405,,-0.377078125,,,0.416,-0.449729,,0.07078125,-0.4665842,-0.489718182,0.103055556,-0.422765,,,,,,,,,,-0.6894355
IE-Cra,02/01/2020 15:00,-0.994535519,0.25,-0.28890175,-0.166816543,-0.18351525,-0.163854698,,,-0.182456667,,-0.40681875,,,0.375,-0.47447325,,0.070875,-0.4547378,-0.484736364,0.063055556,-0.415615,,,,,,,,,,0.2200085
IE-Cra,02/01/2020 16:00,-0.994535519,0.333333333,-0.28838675,-0.166583437,-0.179492783,-0.164019763,,,-0.18732,,-0.431955313,,,0.3895,-0.495387,,0.06971875,-0.45675565,-0.486563636,0.144166667,-0.38665,,,,,,,,,,0.8221955
IE-Cra,02/01/2020 17:00,-0.994535519,0.416666667,-0.2865795,-0.166397024,-0.180444,-0.165147247,,,-0.182768333,,-0.437242969,,,0.43,-0.499786,,0.0634375,-0.4572172,-0.4921,0.146388889,-0.4043,,,,,,,,,,0.994449
IE-Cra,02/01/2020 18:00,-0.994535519,0.5,-0.285141,-0.166235295,-0.180907517,-0.166316027,,,-0.183485,,-0.437491563,,,0.4115,-0.49999275,,0.06315625,-0.4663528,-0.49005,0.165,-0.4126,,,,,,,,,,0.833686
IE-Cra,02/01/2020 19:00,-0.994535519,0.583333333,-0.28532125,-0.166097393,-0.1772136,-0.165023817,,,-0.18237,,-0.437492344,,,0.415,-0.49999375,,0.06303125,-0.4643708,-0.490445455,0.136666667,-0.4118,,,,,,,,,,1.110675
IE-Cra,02/01/2020 20:00,-0.994535519,0.666666667,-0.2865235,-0.165979702,-0.174888433,-0.166326331,,,-0.173838333,,-0.437494063,,,0.4605,-0.499995,,0.060375,-0.46365655,-0.495686364,0.170833333,-0.41125,,,,,,,,,,1.055604
IE-Cra,02/01/2020 21:00,-0.994535519,0.75,-0.28775,-0.165877965,-0.174435117,-0.166478688,,,-0.169961667,,-0.437495,,,0.483,-0.49999575,,0.0593125,-0.467893,-0.498168182,0.185555556,-0.41665,,,,,,,,,,0.845332
IE-Cra,02/01/2020 22:00,-0.994535519,0.833333333,-0.2865965,-0.165792658,-0.1774795,-0.17392799,,,-0.171743333,,-0.437493125,,,0.4745,-0.49999425,,0.05293125,,-0.497509091,0.536111111,-0.3884,,,,,,,,,,0.944338
IE-Cra,02/01/2020 23:00,-0.994535519,0.916666667,-0.28610725,-0.165685585,-0.1646242,-0.166737525,,,-0.174483333,,-0.437491563,,,0.452,-0.499993,,0.04470625,,-0.495581818,0.786666667,-0.39625,,,,,,,,,,0.878437
IE-Cra,03/01/2020 00:00,-0.989071038,-1,-0.2853305,-0.165629035,-0.167551067,-0.167064593,,,-0.178861667,,-0.437489375,,,0.4355,-0.49999125,,0.040271875,-0.468021,-0.49435,0.772222222,-0.4064,,,,,,,,,,0.850207
IE-Cra,03/01/2020 01:00,-0.989071038,-0.916666667,-0.28509825,-0.165656382,-0.185121233,-0.168328733,,,-0.193501667,,-0.4374875,,,0.391,-0.4999895,,0.0355875,-0.4674604,-0.490918182,0.661111111,-0.42692,,,,,,,,,,1.0033175
IE-Cra,03/01/2020 02:00,-0.989071038,-0.833333333,-0.2861165,-0.165697323,-0.175524883,-0.188814193,,,-0.189673333,,-0.437480625,,,0.38,-0.49998375,,0.032253125,-0.40480765,-0.490372727,0.623055556,-0.42904,,,,,,,,,,0.8250895
IE-Cra,03/01/2020 03:00,-0.989071038,-0.75,-0.28587675,-0.165787708,-0.173957367,-0.165944472,,,-0.181398333,,-0.437478281,,,0.39,-0.499982,,0.032046875,-0.4782928,-0.4912,0.527777778,-0.44824,,,,,,,,,,0.6234305
IE-Cra,03/01/2020 04:00,-0.989071038,-0.666666667,-0.285584,-0.165907903,-0.173852533,-0.166930048,,,-0.18611,,-0.43748,,,0.393,-0.49998325,,0.0286125,-0.483708,-0.491759091,0.521388889,-0.45376,,,,,,,,,,0.595171
IE-Cra,03/01/2020 05:00,-0.989071038,-0.583333333,-0.28557225,-0.166043472,-0.176078033,-0.166061283,,,-0.182355,,-0.437475938,,,0.3795,-0.49997975,,0.028503125,-0.4741301,-0.490727273,0.466388889,-0.447335,,,,,,,,,,0.845072
IE-Cra,03/01/2020 06:00,-0.989071038,-0.5,-0.28571775,-0.166192032,-0.179293317,-0.166351888,,,-0.184613333,,-0.437477656,,,0.384,-0.49998125,,0.030865625,-0.4724739,-0.490836364,0.500833333,-0.43476,,,,,,,,,,0.970617
IE-Cra,03/01/2020 07:00,-0.989071038,-0.416666667,-0.28453375,-0.166345714,-0.175441333,-0.167076013,,,-0.186265,,-0.437477969,,,0.391,-0.49998175,,0.025053125,-0.4813349,-0.491927273,0.431666667,-0.45202,,,,,,,,,,0.6273405
IE-Cra,03/01/2020 08:00,-0.989071038,-0.333333333,-0.28476425,-0.16650215,-0.174374533,-0.167108666,,,-0.182403333,,-0.437427344,,,0.3925,-0.4999395,,0.024659375,-0.4828436,-0.492072727,0.396666667,-0.457545,,,,,,,,,,0.8061525
IE-Cra,03/01/2020 09:00,-0.989071038,-0.25,-0.28345775,-0.166667738,-0.175511167,-0.167086499,,,-0.187723333,,-0.428351562,,,0.4235,-0.4923885,,0.019096875,-0.4826328,-0.4947,0.316944444,-0.45466,,,,,,,,,,0.7194635
IE-Cra,03/01/2020 10:00,-0.989071038,-0.166666667,-0.285167,-0.166833892,-0.17202895,-0.166091595,,,-0.178076667,,-0.394546875,,,0.4055,-0.464263,,0.020746875,-0.4808624,-0.493318182,0.324166667,-0.44793,,,,,,,,,,-0.60608
IE-Cra,03/01/2020 11:00,-0.989071038,-0.083333333,-0.288553,-0.166994345,-0.165922515,-0.162696117,,,-0.164849167,,-0.342359375,,,0.3405,-0.420843,,0.031821875,-0.4695301,-0.487222727,0.321388889,-0.42433,,,,,,,,,,-1.211575
IE-Cra,03/01/2020 12:00,-0.989071038,0,-0.2905525,-0.167124935,-0.162568883,-0.1603335,,,-0.150156667,,-0.304375,,,0.29375,-0.38924,,0.042125,-0.4662588,-0.481513636,0.362777778,-0.419655,0.04902634,0.171955675,0.0323631,0.051787571,0.187355745,0.130477901,0.056825758,0,0,-1.628025
IE-Cra,03/01/2020 13:00,-0.989071038,0.083333333,-0.2914235,-0.167206517,-0.162350017,-0.158607917,,,-0.143383333,,-0.299578125,,,0.26635,-0.385249,,0.048978125,-0.462133,-0.477463636,0.408333333,-0.4167,,,,,,,,,,-1.714945
IE-Cra,03/01/2020 14:00,-0.989071038,0.166666667,-0.2926475,-0.167262222,-0.17147005,-0.162396083,,,-0.157305,,-0.345671875,,,0.28145,-0.423599,,0.049246875,-0.4652134,-0.478854545,0.398055556,-0.4178,,,,,,,,,,-1.433785
IE-Cra,03/01/2020 15:00,-0.989071038,0.25,-0.291604,-0.16730763,-0.170947878,-0.164603368,,,-0.160998333,,-0.39678125,,,0.3175,-0.466122,,0.04894375,-0.47445705,-0.482409091,0.340555556,-0.43363,,,,,,,,,,-0.826963
IE-Cra,03/01/2020 16:00,-0.989071038,0.333333333,-0.28756375,-0.167354443,-0.170913683,-0.166999527,,,-0.181028333,,-0.427523438,,,0.3875,-0.4916995,,0.04070625,-0.4879742,-0.490018182,0.264166667,-0.460335,,,,,,,,,,0.8225295
IE-Cra,03/01/2020 17:00,-0.989071038,0.416666667,-0.28456075,-0.167408453,-0.172466033,-0.167601178,,,-0.176598333,,-0.437194219,,,0.426,-0.49974575,,0.034375,-0.4794296,-0.493913636,0.208333333,-0.464865,,,,,,,,,,0.826884
IE-Cra,03/01/2020 18:00,-0.989071038,0.5,-0.28495025,-0.167481612,-0.176609,-0.167178078,,,-0.186036667,,-0.43747875,,,0.4285,-0.49998225,,0.038346875,-0.47920805,-0.493863636,0.248055556,-0.44276,,,,,,,,,,0.580901
IE-Cra,03/01/2020 19:00,-0.989071038,0.583333333,-0.28436975,-0.167549123,-0.17709095,-0.167679262,,,-0.184415,,-0.437478594,,,0.432,-0.49998225,,0.0346125,-0.4760375,-0.494395455,0.236944444,-0.441615,,,,,,,,,,0.8136385
IE-Cra,03/01/2020 20:00,-0.989071038,0.666666667,-0.28415925,-0.167602888,-0.17554935,-0.166874209,,,-0.172866667,,-0.437475625,,,0.436,-0.49997975,,0.03681875,-0.4706477,-0.494590909,0.185,-0.43617,,,,,,,,,,1.12517
IE-Cra,03/01/2020 21:00,-0.989071038,0.75,-0.284134,-0.167650308,-0.174309667,-0.166875061,,,-0.174623333,,-0.437478906,,,0.429,-0.4999825,,0.037096875,-0.4726482,-0.493986364,0.146666667,-0.43627,,,,,,,,,,0.8656175
IE-Cra,03/01/2020 22:00,-0.989071038,0.833333333,-0.2837205,-0.167680887,-0.17335785,-0.166681208,,,-0.173506667,,-0.437478906,,,0.4375,-0.4999825,,0.035203125,-0.47160015,-0.494822727,0.181666667,-0.42761,,,,,,,,,,0.7482265
IE-Cra,03/01/2020 23:00,-0.989071038,0.916666667,-0.28497075,-0.167668268,-0.172960733,-0.165541427,,,-0.177675,,-0.437480625,,,0.458,-0.499984,,0.035053125,-0.4712592,-0.496522727,0.212222222,-0.42616,,,,,,,,,,0.934776
IE-Cra,04/01/2020 00:00,-0.983606557,-1,-0.2849215,-0.167680115,-0.17133685,-0.167020561,,,-0.176455,,-0.437480625,,,0.4715,-0.49998375,,0.035196875,-0.4746441,-0.497636364,0.177222222,-0.43049,,,,,,,,,,0.696674
IE-Cra,04/01/2020 01:00,-0.983606557,-0.916666667,-0.28452475,-0.167734393,-0.175104067,-0.166585323,,,-0.180755,,-0.437480312,,,0.4665,-0.49998375,,0.03386875,-0.4750202,-0.497263636,0.210833333,-0.42925,,,,,,,,,,1.0839655
IE-Cra,04/01/2020 02:00,-0.983606557,-0.833333333,-0.28377775,-0.167757087,-0.176419933,-0.167816486,,,-0.182685,,-0.437478281,,,0.455,-0.499982,,0.033384375,-0.4743301,-0.496345455,0.242222222,-0.436135,,,,,,,,,,0.8345515
IE-Cra,04/01/2020 03:00,-0.983606557,-0.75,-0.28457475,-0.16778206,-0.174409783,-0.167235652,,,-0.184803333,,-0.437477656,,,0.476,-0.4999815,,0.030346875,-0.4798718,-0.498113636,0.153611111,-0.45069,,,,,,,,,,0.963458
IE-Cra,04/01/2020 04:00,-0.983606557,-0.666666667,-0.2832095,-0.167814593,-0.171074567,-0.16703461,,,-0.175745,,-0.437476563,,,0.484,-0.4999805,,0.029771875,-0.48486875,-0.49875,0.113333333,-0.4685,,,,,,,,,,0.8241755
IE-Cra,04/01/2020 05:00,-0.983606557,-0.583333333,-0.28381275,-0.167853388,-0.1731142,-0.166909395,,,-0.174455,,-0.437475625,,,0.484,-0.4999795,,0.032146875,-0.47610685,-0.498718182,0.1675,-0.451155,,,,,,,,,,0.941263
IE-Cra,04/01/2020 06:00,-0.983606557,-0.5,-0.28429675,-0.167888818,-0.175360583,-0.167336215,,,-0.178451667,,-0.437475625,,,0.477,-0.4999795,,0.03458125,-0.47530015,-0.498104545,0.184166667,-0.443485,,,,,,,,,,1.0962
IE-Cra,04/01/2020 07:00,-0.983606557,-0.416666667,-0.2850265,-0.167918572,-0.171369717,-0.168325218,,,-0.17573,,-0.437478594,,,0.483,-0.49998225,,0.0345625,-0.4805933,-0.4986,0.1525,-0.44911,,,,,,,,,,0.835314
IE-Cra,04/01/2020 08:00,-0.983606557,-0.333333333,-0.2854655,-0.167945915,-0.1722606,-0.166843869,,,-0.172976667,,-0.437424063,,,0.4885,-0.49993675,,0.03565625,-0.47669475,-0.499040909,0.177777778,-0.444765,,,,,,,,,,0.8741385
IE-Cra,04/01/2020 09:00,-0.983606557,-0.25,-0.2857795,-0.167967238,-0.170892667,-0.16821289,,,-0.17301,,-0.429159375,,,0.49,-0.4930605,,0.0361125,-0.47847595,-0.499163636,0.134166667,-0.4514,,,,,,,,,,0.032661
IE-Cra,04/01/2020 10:00,-0.983606557,-0.166666667,-0.2853095,-0.167977545,-0.164705991,-0.167363395,,,-0.15435,,-0.391078125,,,0.489,-0.461377,,0.039578125,-0.4695982,-0.499040909,0.057222222,-0.443245,,,,,,,,,,-0.9272185
IE-Cra,04/01/2020 11:00,-0.983606557,-0.083333333,-0.28571425,-0.167947843,-0.162600305,-0.165162367,,,-0.15499,,-0.36890625,,,0.47,-0.44293,,0.043965625,-0.47041045,-0.497259091,0.090277778,-0.43026,,,,,,,,,,-1.679215
IE-Cra,04/01/2020 12:00,-0.983606557,0,-0.28663975,-0.16785625,-0.161600733,-0.165590888,,,-0.153021667,,-0.36246875,,,0.4615,-0.437574,,0.04721875,-0.4646101,-0.496359091,0.075277778,-0.4246,0.048806143,0.170167436,0.032263473,0.051655736,0.185478352,0.129238979,0.056200779,0,0,-2.35423
IE-Cra,04/01/2020 13:00,-0.983606557,0.083333333,-0.286782,-0.16773004,-0.1606002,-0.164971912,,,-0.159443333,,-0.386125,,,0.451,-0.457256,,0.049653125,-0.4669753,-0.495236364,0.115555556,-0.42717,,,,,,,,,,-1.693465
IE-Cra,04/01/2020 14:00,-0.983606557,0.166666667,-0.28715125,-0.167600517,-0.166280193,-0.16506339,,,-0.162398167,,-0.3834375,,,0.4285,-0.45502,,0.052125,-0.46452145,-0.492863636,0.109166667,-0.42202,,,,,,,,,,-1.487115
IE-Cra,04/01/2020 15:00,-0.983606557,0.25,-0.2876265,-0.167475435,-0.170488332,-0.165456123,,,-0.168870667,,-0.41053125,,,0.409,-0.477562,,0.05340625,-0.46958335,-0.490786364,0.087222222,-0.430575,,,,,,,,,,-0.44341
IE-Cra,04/01/2020 16:00,-0.983606557,0.333333333,-0.2872235,-0.167355092,-0.172512817,-0.166137626,,,-0.171263333,,-0.430765625,,,0.4215,-0.494397,,0.05246875,-0.4703034,-0.492136364,0.057222222,-0.43403,,,,,,,,,,0.6445135
IE-Cra,04/01/2020 17:00,-0.983606557,0.416666667,-0.2876,-0.16725872,-0.17345565,-0.166451305,,,-0.168993667,,-0.437274531,,,0.4085,-0.4998125,,0.05290625,-0.4700387,-0.490786364,0.053611111,-0.432275,,,,,,,,,,0.7398895
IE-Cra,04/01/2020 18:00,-0.983606557,0.5,-0.28650875,-0.167172053,-0.172598533,-0.166753486,,,-0.17063,,-0.437495,,,0.422,-0.49999575,,0.0513125,-0.4714983,-0.492281818,0.044166667,-0.436585,,,,,,,,,,0.8924495
IE-Cra,04/01/2020 19:00,-0.983606557,0.583333333,-0.28638375,-0.167082108,-0.172251367,-0.16645328,,,-0.168515,,-0.437496406,,,0.4055,-0.499997,,0.0508125,-0.4731288,-0.490695455,0.028611111,-0.441325,,,,,,,,,,0.769654
IE-Cra,04/01/2020 20:00,-0.983606557,0.666666667,-0.2855055,-0.16699091,-0.173296733,-0.166030717,,,-0.172153333,,-0.437497031,,,0.4115,-0.4999975,,0.05065625,-0.4685831,-0.4913,0.021944444,-0.431435,,,,,,,,,,0.874481
IE-Cra,04/01/2020 21:00,-0.983606557,0.75,-0.284858,-0.166903452,-0.173470683,-0.166027187,,,-0.172353333,,-0.437497656,,,0.4225,-0.499998,,0.04993125,-0.46897245,-0.492440909,0.023333333,-0.431055,,,,,,,,,,0.7227035
IE-Cra,04/01/2020 22:00,-0.983606557,0.833333333,-0.28450975,-0.166830814,-0.1759918,-0.166762318,,,-0.178501667,,-0.4374975,,,0.4295,-0.49999775,,0.0497,-0.4670073,-0.493145455,0.021111111,-0.427995,,,,,,,,,,0.830425
IE-Cra,04/01/2020 23:00,-0.983606557,0.916666667,-0.28460775,-0.166733475,-0.174348117,-0.166628243,,,-0.176486667,,-0.43749625,,,0.4465,-0.49999675,,0.04930625,-0.4686842,-0.494822727,0.0225,-0.431245,,,,,,,,,,0.4784225
IE-Cra,05/01/2020 00:00,-0.978142077,-1,-0.28420875,-0.166675911,-0.172401333,-0.166494354,,,-0.175445,,-0.4374925,,,0.4485,-0.49999375,,0.049134375,-0.47095895,-0.495022727,0.008333333,-0.434125,,,,,,,,,,0.8148965
IE-Cra,05/01/2020 01:00,-0.978142077,-0.916666667,-0.28558525,-0.166675465,-0.173134117,-0.16557126,,,-0.172315,,-0.437485938,,,0.4715,-0.49998825,,0.049896875,-0.47411815,-0.497222727,0.052777778,-0.43873,,,,,,,,,,1.403365
IE-Cra,05/01/2020 02:00,-0.978142077,-0.833333333,-0.2854205,-0.166651003,-0.170186995,-0.167106705,,,-0.174938333,,-0.437486406,,,0.4715,-0.49998875,,0.050040625,-0.47822075,-0.497222727,0.059166667,-0.447165,,,,,,,,,,0.4326775
IE-Cra,05/01/2020 03:00,-0.978142077,-0.75,-0.284509,-0.166631895,-0.173293467,-0.166185595,,,-0.17161,,-0.437488906,,,0.4795,-0.49999075,,0.04881875,-0.4814205,-0.498027273,0.060555556,-0.462115,,,,,,,,,,0.944593
